Id,SinkCreatedOn,SinkModifiedOn,statecode,statuscode,dfeta_allreports,dfeta_individualteacherreport,dfeta_section128barringdirectionreport,dfeta_inductionfailreport,dfeta_othereeamemberstatereport,dfeta_blockselfserviceaccess,dfeta_prohibitedteacherreport,dfeta_gtcsanctionreport,createdonbehalfby,createdonbehalfby_entitytype,modifiedonbehalfby,modifiedonbehalfby_entitytype,createdby,createdby_entitytype,organizationid,organizationid_entitytype,modifiedby,modifiedby_entitytype,modifiedbyyominame,createdbyname,modifiedon,dfeta_sanctioncodeid,modifiedbyname,createdonbehalfbyyominame,modifiedonbehalfbyname,importsequencenumber,createdon,modifiedonbehalfbyyominame,versionnumber,overriddencreatedon,createdonbehalfbyname,timezoneruleversionnumber,createdbyyominame,organizationidname,dfeta_name,dfeta_value,utcconversiontimezonecode,dfeta_restrictportalalertsharing
29790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,1,NULL,0,NULL,NULL,0,1,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:16.0000000,29790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994178,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Suspension order  -  serious professional incompetence  -  with conditions,A14,NULL,NULL
2B790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,0,NULL,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:17.0000000,2B790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994185,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,For internal information only - historic GTC finding of unsuitable for registration,A15,NULL,NULL
2D790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,0,NULL,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:16.0000000,2D790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994173,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,No Sanction  -  conviction for a relevant offence,A16,NULL,NULL
2F790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,0,NULL,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:16.0000000,2F790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994182,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Reprimand  -  conviction of a relevant offence,A17,NULL,NULL
31790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,1,NULL,0,NULL,NULL,0,1,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:16.0000000,31790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994162,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Conditional Registration Order  -  conviction of a relevant offence,A18,NULL,NULL
33790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,1,NULL,0,NULL,NULL,0,1,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:16.0000000,33790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994168,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Suspension order  -  conviction of a relevant offence  -  without conditions,A19,NULL,NULL
35790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,1,NULL,0,NULL,NULL,1,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:16.0000000,35790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994157,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Prohibition Order  -  unacceptable professional conduct  -  Ineligible to reapply,A1A,NULL,NULL
37790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,1,NULL,0,NULL,NULL,1,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:16.0000000,37790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994166,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Prohibition Order  -  unacceptable professional conduct  -  Eligible to reapply after specified time,A1B,NULL,NULL
3D790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,1,NULL,0,NULL,NULL,0,1,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:16.0000000,3D790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994180,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Suspension order  -  unacceptable professional conduct  -  without conditions,A2,NULL,NULL
3F790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,1,NULL,0,NULL,NULL,0,1,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:17.0000000,3F790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994186,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Suspension order  -  conviction of a relevant offence  -  with conditions,A20,NULL,NULL
41790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,1,NULL,0,NULL,NULL,1,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:16.0000000,41790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994159,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Prohibition Order  -  conviction of a relevant offence  -  ineligible to reapply,A21A,NULL,NULL
